file,rec,timestamp,kind,peer,handle,opcode_byte,value_hex,value_len
hci_snoop_2025_11_26_14_52_44.cfa,441,2025-11-26T14:53:02.472Z,CCCD,f4:db:00:00:00:d9,0x0025,0x01,01 00,2
hci_snoop_2025_11_26_14_52_44.cfa,679,2025-11-26T14:53:31.351Z,CCCD,f4:db:00:00:00:d9,0x0025,0x01,01 00,2
hci_snoop_2025_11_26_14_52_44.cfa,446,2025-11-26T14:53:02.503Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x1A,1A,1
hci_snoop_2025_11_26_14_52_44.cfa,682,2025-11-26T14:53:31.381Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x01,01,1
hci_snoop_2025_11_26_14_52_44.cfa,687,2025-11-26T14:53:31.431Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 00 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,691,2025-11-26T14:53:31.617Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 03 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,695,2025-11-26T14:53:31.796Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 06 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,699,2025-11-26T14:53:31.984Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 09 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,703,2025-11-26T14:53:32.164Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 0C 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,707,2025-11-26T14:53:32.361Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 0F 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,711,2025-11-26T14:53:32.567Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 12 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,715,2025-11-26T14:53:32.749Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 15 00 00 00 03,6
hci_snoop_2025_11_26_14_52_44.cfa,719,2025-11-26T14:53:32.916Z,FFF5-Write,f4:db:00:00:00:d9,0x0021,0x07,07 18 00 00 00 03,6
